pixel_id,x,y,acc,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
70,2,14,0.9432857142857143,0.035740878629933026,0.02312499999999995,0.077536231884058,0.05931612002791342,0.03938223938223939,0.03377847604084838,0.03295128939828085,0.054557551563539586,0.10906411201179067,0.10352112676056335
71,2,15,0.947,0.04169769173492177,0.03374999999999995,0.05797101449275366,0.06838799720865318,0.061003861003861015,0.03692065985860171,0.034383954154727836,0.06387225548902198,0.08400884303610912,0.04929577464788737
72,2,16,0.9412857142857143,0.034251675353685784,0.038124999999999964,0.047826086956521685,0.08583391486392189,0.05945945945945941,0.0353495679497251,0.033667621776504286,0.10113107119095144,0.07590272660280029,0.07183098591549297
73,2,17,0.9487857142857142,0.03723008190618016,0.03500000000000003,0.04275362318840581,0.05582693649685977,0.05637065637065641,0.03692065985860171,0.03008595988538687,0.06054557551563544,0.05895357406042745,0.09788732394366195
74,2,18,0.9464285714285714,0.017125837676842837,0.015625,0.03913043478260869,0.07048150732728542,0.06254826254826251,0.02906520031421833,0.035816618911174825,0.06986027944111772,0.13264554163596165,0.06619718309859157
75,2,19,0.9506428571428571,0.025316455696202556,0.026249999999999996,0.05942028985507242,0.07466852756454989,0.061776061776061764,0.04320502749410837,0.017191977077363862,0.06786427145708585,0.05453205600589539,0.06408450704225355
76,2,20,0.9382857142857143,0.03723008190618016,0.024375000000000036,0.1340579710144928,0.09071877180739707,0.07722007722007718,0.04713275726630006,0.05229226361031514,0.042581503659347986,0.0648489314664702,0.052816901408450745
77,2,21,0.9407857142857143,0.036485480268056536,0.028124999999999956,0.0905797101449275,0.09071877180739707,0.050193050193050204,0.06284367635506682,0.034383954154727836,0.05921490352628078,0.06632277081798088,0.07605633802816902
78,2,22,0.9445,0.025316455696202556,0.03249999999999997,0.05797101449275366,0.08304256803907883,0.05328185328185331,0.07541241162608014,0.0322349570200573,0.053892215568862256,0.07737656595431097,0.06760563380281692
79,2,23,0.9362857142857143,0.09084139985107964,0.030000000000000027,0.07246376811594202,0.10258199581297978,0.07567567567567568,0.054988216810683443,0.026504297994269344,0.06453759148369931,0.06632277081798088,0.058450704225352146
80,2,24,0.9478571428571428,0.0193596425912137,0.03374999999999995,0.05652173913043479,0.0753663642707606,0.0424710424710425,0.05734485467399841,0.026504297994269344,0.043912175648702645,0.09653647752394989,0.07183098591549297
81,2,25,0.9504285714285714,0.05286671630677586,0.03687499999999999,0.04275362318840581,0.0404745289602233,0.0517374517374517,0.04948939512961503,0.03080229226361031,0.04790419161676651,0.09211495946941783,0.054225352112676095
82,2,26,0.9466428571428571,0.036485480268056536,0.03687499999999999,0.10507246376811596,0.02442428471737612,0.05096525096525095,0.058915946582875134,0.028653295128939882,0.06054557551563544,0.05821665438467205,0.07605633802816902
83,2,27,0.9510714285714286,0.025316455696202556,0.022499999999999964,0.047101449275362306,0.06210746685275648,0.06486486486486487,0.02985074626865669,0.03008595988538687,0.03858948769128412,0.08916728076639646,0.08309859154929577
84,3,0,0.9441428571428572,0.034996276991809405,0.028124999999999956,0.034057971014492705,0.06908583391486389,0.049420849420849455,0.04320502749410837,0.03008595988538687,0.06121091151031266,0.13411938098747234,0.0767605633802817
85,3,1,0.9492142857142857,0.017870439314966458,0.026249999999999996,0.03840579710144931,0.07257501744591766,0.07567567567567568,0.04399057344854673,0.04727793696275073,0.08649367930805052,0.05453205600589539,0.04507042253521132
86,3,2,0.9476428571428571,0.034251675353685784,0.021874999999999978,0.05289855072463767,0.06280530355896718,0.04169884169884175,0.04948939512961503,0.04083094555873923,0.0691949434464405,0.08769344141488578,0.06478873239436622
87,3,3,0.9515,0.04244229337304539,0.02375000000000005,0.05869565217391304,0.07048150732728542,0.05791505791505791,0.0408483896307934,0.02936962750716332,0.04923486360612106,0.0648489314664702,0.05070422535211272
88,3,4,0.9545,0.02010424422933732,0.026249999999999996,0.062318840579710155,0.05024424284717377,0.055598455598455554,0.03377847604084838,0.02077363896848139,0.05322687957418493,0.08032424465733234,0.054225352112676095
89,3,5,0.9486428571428571,0.034251675353685784,0.03937500000000005,0.06521739130434778,0.05094207955338448,0.08185328185328189,0.04399057344854673,0.03008595988538687,0.041916167664670656,0.07811348563006637,0.05211267605633807
90,3,6,0.9437857142857143,0.05286671630677586,0.030000000000000027,0.05797101449275366,0.05861828332170271,0.05637065637065641,0.04870384917517678,0.04297994269340977,0.03992015968063867,0.09874723655121587,0.08098591549295775
91,3,7,0.9462857142857143,0.03946388682055102,0.02749999999999997,0.09130434782608698,0.0516399162595953,0.05868725868725866,0.04948939512961503,0.0322349570200573,0.07385229540918159,0.060427413411938136,0.05492957746478877
92,3,8,0.947,0.021593447505584562,0.020000000000000018,0.08260869565217388,0.05931612002791342,0.06486486486486487,0.06362922230950507,0.027936962750716332,0.06054557551563544,0.05084745762711862,0.08309859154929577
93,3,9,0.9435714285714286,0.026061057334326176,0.028124999999999956,0.08913043478260874,0.04326587578506624,0.10038610038610041,0.07227022780832681,0.03008595988538687,0.05123087159015305,0.0957995578481945,0.038028169014084456
94,3,10,0.9408571428571428,0.021593447505584562,0.04125000000000001,0.06594202898550727,0.06908583391486389,0.049420849420849455,0.061272584446190104,0.056590257879656214,0.06187624750498999,0.10316875460574793,0.0626760563380282
95,3,11,0.944,0.024571854058078935,0.024375000000000036,0.0514492753623188,0.06699232379623166,0.07876447876447878,0.055773762765121804,0.028653295128939882,0.04590818363273452,0.09285187914517312,0.0964788732394366
96,3,12,0.9408571428571428,0.05286671630677586,0.026249999999999996,0.06666666666666665,0.06629448709002095,0.038610038610038644,0.06362922230950507,0.03939828080229224,0.08782435129740518,0.07663964627855568,0.07464788732394367
97,3,13,0.9409285714285714,0.014147431124348464,0.01749999999999996,0.08478260869565213,0.06001395673412424,0.08416988416988413,0.05734485467399841,0.044412607449856756,0.041916167664670656,0.0957995578481945,0.09859154929577463
98,3,14,0.9439285714285715,0.04988830975428149,0.026249999999999996,0.08043478260869563,0.06001395673412424,0.07799227799227804,0.04477611940298509,0.03295128939828085,0.04923486360612106,0.0847457627118644,0.06056338028169017
99,3,15,0.9490714285714286,0.021593447505584562,0.03562500000000002,0.06956521739130439,0.06071179344033495,0.06332046332046337,0.04006284367635504,0.022206303724928378,0.040585495675316,0.09948415622697127,0.05915492957746482
100,3,16,0.9466428571428571,0.035740878629933026,0.026249999999999996,0.07173913043478264,0.06210746685275648,0.0471042471042471,0.058130400628436774,0.028653295128939882,0.05854956753160345,0.0744288872512896,0.073943661971831
101,3,17,0.9510714285714286,0.02978406552494417,0.03125,0.05652173913043479,0.05443126308443824,0.06409266409266412,0.055773762765121804,0.03295128939828085,0.03526280771789758,0.08253500368459843,0.05211267605633807
102,3,18,0.9462857142857143,0.04020848845867464,0.03249999999999997,0.07463768115942027,0.05652477320307048,0.054826254826254806,0.03692065985860171,0.023638968481375366,0.053892215568862256,0.07737656595431097,0.0880281690140845
103,3,19,0.9419285714285714,0.035740878629933026,0.04249999999999998,0.06521739130434778,0.057920446615492005,0.08571428571428574,0.05341712490180672,0.054441260744985676,0.06121091151031266,0.05895357406042745,0.0683098591549296
